StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Toestemming,Q1,Q2,Q3,Q3_10_TEXT,Q4_1,Q4_2,Q6,Q21,Q5_1,Q5_2,Q5_3,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13_1,Q13_2,Q13_3,Q13_4,Random
2023-07-19 10:58:30,2023-07-19 11:04:05,IP Address,,100,335,True,2023-07-19 11:04:06,R_2OQ01TlGAOLD8ga,,,,,,,anonymous,EN,Ja,2000,Man,Universiteit,,Waarschijnlijk,Neutraal,3 keer of meer,2 keer,Mee eens,Neutraal,Mee eens,Neutraal,Niet eens,Eens,Eens,Eens,Neutraal,3,3,8,3,5,6,3,8,2,6,Eens,Neutraal,Neutraal,Niet eens,5,5,6,4,5,2,2,4,Een beetje eens,Een beetje oneens,Neutraal,Een beetje eens,1
2023-07-19 10:53:03,2023-07-19 11:05:17,IP Address,,100,733,True,2023-07-19 11:05:17,R_2fxL3AS0U42oQjv,,,,,,,anonymous,EN,Ja,2000,Man,havo,,Waarschijnlijk,Waarschijnlijk,2 keer,1 keer,Mee eens,Niet mee eens,Mee eens,Niet eens,Eens,Eens,Niet eens,Eens,Neutraal,6,3,6,5,7,8,7,7,5,4,Eens,Neutraal,Neutraal,Eens,6,6,6,5,4,4,4,5,Niet mee eens,Niet mee eens,Mee eens,Mee eens,3
2023-07-21 15:11:31,2023-07-21 15:13:59,IP Address,,100,148,True,2023-07-21 15:14:00,R_2zItGJ7ujA0r2tc,,,,,,,anonymous,EN,Ja,2001,Man,vwo,,Waarschijnlijk,Waarschijnlijk,3 keer of meer,0 keer,Mee eens,Neutraal,Helemaal mee eens,Eens,Eens,Helemaal eens,Neutraal,Eens,Neutraal,3,3,7,3,8,5,6,5,7,8,Niet eens,Neutraal,Neutraal,Niet eens,4,5,5,5,3,2,4,3,Niet mee eens,Een beetje eens,Neutraal,Neutraal,2
2023-07-22 12:06:33,2023-07-22 12:17:55,IP Address,,100,681,True,2023-07-22 12:17:56,R_ePeacAZjpTso5Y5,,,,,,,anonymous,EN,Ja,1997,Man,Anders:,HBO (hogeschool),Heel waarschijnlijk,Onwaarschijnlijk,2 keer,0 keer,Mee eens,Mee eens,Helemaal mee eens,Eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,2,6,5,8,6,3,8,5,3,1,Helemaal eens,Eens,Helemaal niet eens,Eens,6,6,6,7,6,4,2,5,Een beetje eens,Mee eens,Helemaal mee eens,Een beetje eens,1
2023-07-23 02:34:54,2023-07-23 02:37:47,IP Address,,100,172,True,2023-07-23 02:37:47,R_R7VLbsRsgvjdQUV,,,,,,,anonymous,EN,Ja,2001,Man,Universiteit,,Heel waarschijnlijk,Heel onwaarschijnlijk,2 keer,2 keer,Neutraal,Niet mee eens,Mee eens,Niet eens,Niet eens,Niet eens,Niet eens,Eens,Eens,1,2,8,3,3,7,4,8,3,7,Eens,Neutraal,Niet eens,Neutraal,5,6,5,6,5,2,2,5,Een beetje eens,Een beetje oneens,Een beetje oneens,Een beetje eens,3
2023-07-17 01:52:51,2023-07-17 05:01:42,IP Address,,18,11331,False,2023-07-24 05:01:45,R_2fwdUmtb1Krjagn,,,,,,,anonymous,EN,Ja,1980,Man,Universiteit,,Heel waarschijnlijk,Onwaarschijnlijk,1 keer,0 keer,Mee eens,Mee eens,Mee eens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2023-07-17 19:15:13,2023-07-17 19:16:48,IP Address,,36,95,False,2023-07-24 19:16:56,R_2UWUSUUI3cf80Tv,,,,,,,anonymous,EN,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2023-07-25 12:21:18,2023-07-25 12:24:12,IP Address,,100,174,True,2023-07-25 12:24:13,R_3dYfqN5RPSBFLM1,,,,,,,anonymous,EN,Ja,1996,Man,Universiteit,,Waarschijnlijk,Heel waarschijnlijk,3 keer of meer,2 keer,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Eens,Helemaal niet eens,Eens,Eens,Eens,7,6,4,8,8,3,7,2,10,2,Eens,Helemaal eens,Niet eens,Eens,6,6,6,5,5,2,2,3,Mee eens,Een beetje eens,Mee eens,Neutraal,2
2023-07-26 01:53:21,2023-07-26 01:56:25,IP Address,,100,184,True,2023-07-26 01:56:26,R_3kHRFfX5V9C755K,,,,,,,anonymous,EN,Ja,2000,Man,Universiteit,,Waarschijnlijk,Neutraal,2 keer,1 keer,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Eens,Eens,Neutraal,Helemaal eens,Eens,3,3,8,4,4,8,4,7,4,6,Eens,Eens,Neutraal,Eens,6,6,6,6,6,1,1,2,Mee eens,Een beetje eens,Mee eens,Niet mee eens,1
2023-07-26 07:05:16,2023-07-26 07:12:28,IP Address,,100,432,True,2023-07-26 07:12:29,R_DCXT7M3QKnfPH7H,,,,,,,anonymous,EN,Ja,1998,Vrouw,Universiteit,,Waarschijnlijk,Onwaarschijnlijk,2 keer,2 keer,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Eens,Neutraal,Niet eens,Helemaal eens,Eens,8,8,10,3,6,8,3,9,1,1,Niet eens,Neutraal,Helemaal niet eens,Eens,7,7,7,7,7,1,1,6,Een beetje eens,Mee eens,Helemaal mee eens,Een beetje oneens,2
2023-07-27 05:17:28,2023-07-27 05:19:31,IP Address,,100,123,True,2023-07-27 05:19:31,R_1etOS9PYmVVNpLy,,,,,,,anonymous,EN,Ja,1997,Vrouw,Universiteit,,Onwaarschijnlijk,Waarschijnlijk,3 keer of meer,0 keer,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal eens,Neutraal,Helemaal eens,Eens,Eens,Helemaal eens,9,4,9,4,3,8,3,8,6,3,Helemaal eens,Eens,Helemaal eens,Helemaal eens,5,5,4,6,6,6,6,6,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,3
2023-07-27 08:34:47,2023-07-27 08:40:10,IP Address,,100,323,True,2023-07-27 08:40:11,R_3CT1NfyOyxe3JGm,,,,,,,anonymous,EN,Ja,1999,Vrouw,Anders:,HBO,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,1 keer,Mee eens,Mee eens,Mee eens,Neutraal,Eens,Eens,Eens,Eens,Neutraal,4,4,6,3,7,7,4,6,6,6,Neutraal,Neutraal,Neutraal,Niet eens,6,6,6,6,6,3,5,6,Een beetje eens,Een beetje eens,Helemaal mee eens,Niet mee eens,1
2023-07-29 04:42:22,2023-07-29 04:49:21,IP Address,,100,419,True,2023-07-29 04:49:22,R_2pWCBkRXnp6iFK3,,,,,,,anonymous,EN,Ja,2004,Man,vwo,,Onwaarschijnlijk,Waarschijnlijk,1 keer,0 keer,Mee eens,Helemaal mee eens,Helemaal mee eens,Eens,Helemaal eens,Helemaal eens,Helemaal eens,Eens,Helemaal eens,3,4,5,6,8,4,5,6,4,2,Eens,Eens,Neutraal,Eens,4,5,6,6,6,2,3,4,Een beetje eens,Mee eens,Mee eens,Niet mee eens,3
2023-07-27 08:37:21,2023-07-31 06:00:17,IP Address,,100,336176,True,2023-07-31 06:00:18,R_21voHVucZMFca1f,,,,,,,anonymous,EN,Ja,1992,Vrouw,mbo,,Heel waarschijnlijk,Heel onwaarschijnlijk,1 keer,1 keer,Neutraal,Mee eens,Mee eens,Eens,Eens,Eens,Neutraal,Eens,Eens,5,5,5,6,7,7,4,5,4,7,Helemaal eens,Helemaal eens,Neutraal,Eens,5,2,3,5,5,2,3,3,Een beetje oneens,Mee eens,Neutraal,Neutraal,2
2023-08-01 02:22:16,2023-08-01 02:27:56,IP Address,,100,340,True,2023-08-01 02:27:57,R_2TN3aBkzk0gEIx7,,,,,,,anonymous,EN,Ja,2000,Man,Universiteit,,Heel waarschijnlijk,Waarschijnlijk,3 keer of meer,3 keer of meer,Helemaal mee eens,Mee eens,Helemaal mee eens,Eens,Eens,Helemaal eens,Niet eens,Helemaal eens,Neutraal,4,6,3,4,5,3,4,6,4,2,Eens,Niet eens,Helemaal niet eens,Eens,5,5,5,5,6,4,3,4,Een beetje eens,Mee eens,Een beetje eens,Een beetje oneens,1
2023-08-01 02:44:26,2023-08-01 02:47:16,IP Address,,100,169,True,2023-08-01 02:47:16,R_1H19AfJ839qZTKx,,,,,,,anonymous,EN,Ja,2002,Vrouw,Universiteit,,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,1 keer,Neutraal,Helemaal niet mee eens,Helemaal niet mee eens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,2,2,6,3,8,8,1,10,1,9,Eens,Neutraal,Neutraal,Helemaal niet eens,6,6,6,5,6,2,2,4,Een beetje eens,Neutraal,Mee eens,Neutraal,2
2023-08-01 03:24:30,2023-08-01 03:27:02,IP Address,,100,152,True,2023-08-01 03:27:02,R_RKuioc37A7daCQN,,,,,,,anonymous,EN,Ja,1999,Vrouw,Universiteit,,Heel waarschijnlijk,Neutraal,1 keer,0 keer,Neutraal,Neutraal,Mee eens,Eens,Niet eens,Eens,Niet eens,Eens,Eens,6,5,5,7,5,6,7,6,5,6,Eens,Neutraal,Neutraal,Niet eens,4,4,4,3,6,5,5,4,Een beetje oneens,Een beetje eens,Een beetje eens,Een beetje oneens,2
2023-08-01 06:10:04,2023-08-01 06:16:24,IP Address,,100,380,True,2023-08-01 06:16:25,R_3sbJIJ6YAu4LUsI,,,,,,,anonymous,EN,Ja,1995,Man,Anders:,HBO,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,1 keer,Neutraal,Niet mee eens,Niet mee eens,Neutraal,Helemaal eens,Eens,Neutraal,Neutraal,Eens,3,1,6,5,7,4,6,6,2,3,Helemaal eens,Eens,Eens,Eens,7,6,6,6,6,1,1,4,Mee eens,Neutraal,Mee eens,Een beetje eens,1
2023-08-01 06:39:11,2023-08-01 06:50:36,IP Address,,100,684,True,2023-08-01 06:50:37,R_1gbdzYZCwmUZ2xn,,,,,,,anonymous,EN,Ja,2001,Man,mbo,,Heel waarschijnlijk,Heel onwaarschijnlijk,0 keer,0 keer,Helemaal niet mee eens,Niet mee eens,Neutraal,Neutraal,Neutraal,Eens,Niet eens,Eens,Eens,3,3,7,4,6,6,4,3,3,9,Eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,4,3,4,2,2,2,2,3,Een beetje eens,Helemaal niet mee eens,Een beetje eens,Een beetje eens,3
2023-08-03 14:19:07,2023-08-03 14:25:27,IP Address,,100,379,True,2023-08-03 14:25:28,R_TwkEvbnjVKVtUJj,,,,,,,anonymous,EN,Ja,2001,Vrouw,mbo,,Heel waarschijnlijk,Heel onwaarschijnlijk,3 keer of meer,2 keer,Mee eens,Mee eens,Helemaal mee eens,Niet eens,Eens,Eens,Niet eens,Neutraal,Neutraal,3,2,7,6,5,7,6,5,5,3,Eens,Neutraal,Niet eens,Neutraal,4,5,6,6,5,3,3,5,Een beetje eens,Neutraal,Mee eens,Niet mee eens,1
2023-08-04 01:36:05,2023-08-04 01:40:38,IP Address,,100,272,True,2023-08-04 01:40:39,R_10xBuGMqzG6im4A,,,,,,,anonymous,EN,Ja,1998,Vrouw,Anders:,HBO,Waarschijnlijk,Onwaarschijnlijk,0 keer,0 keer,Niet mee eens,Neutraal,Mee eens,Neutraal,Eens,Eens,Niet eens,Neutraal,Neutraal,5,4,6,4,5,5,4,7,5,5,Eens,Neutraal,Niet eens,Niet eens,4,4,5,4,4,5,3,4,Een beetje eens,Neutraal,Neutraal,Neutraal,2
2023-08-04 07:25:44,2023-08-04 07:27:32,IP Address,,100,107,True,2023-08-04 07:27:32,R_1QlUiY3KHY1I9AF,,,,,,,anonymous,EN,Ja,1988,Man,mbo,,Heel waarschijnlijk,Heel onwaarschijnlijk,3 keer of meer,3 keer of meer,Mee eens,Mee eens,Mee eens,Eens,Eens,Eens,Eens,Eens,Eens,3,5,4,6,3,5,4,6,4,5,Eens,Eens,Helemaal eens,Eens,5,6,5,5,4,2,6,5,Een beetje eens,Neutraal,Een beetje eens,Mee eens,3
2023-08-08 09:13:15,2023-08-08 09:20:10,IP Address,,100,414,True,2023-08-08 09:20:11,R_8IeqRVUdUPSePvz,,,,,,,anonymous,EN,Ja,1999,Vrouw,Universiteit,,Waarschijnlijk,Neutraal,3 keer of meer,3 keer of meer,Mee eens,Mee eens,Mee eens,Neutraal,Eens,Eens,Eens,Eens,Eens,5,5,7,3,4,7,3,8,4,5,Neutraal,Eens,Neutraal,Niet eens,4,4,4,3,4,2,2,6,Mee eens,Een beetje oneens,Een beetje eens,Een beetje eens,1
2023-08-08 09:22:09,2023-08-08 09:29:27,IP Address,,100,438,True,2023-08-08 09:29:27,R_UzJgzy7HPdPPGvv,,,,,,,anonymous,EN,Ja,1996,Man,mbo,,Onwaarschijnlijk,Heel onwaarschijnlijk,1 keer,0 keer,Helemaal niet mee eens,Helemaal niet mee eens,Neutraal,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,Neutraal,Neutraal,9,5,6,3,6,6,1,6,1,10,Eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,5,4,7,4,4,2,3,4,Een beetje eens,Neutraal,Mee eens,Neutraal,2
2023-08-09 06:38:34,2023-08-09 06:42:17,IP Address,,100,223,True,2023-08-09 06:42:19,R_27B5xSmGnY7WHAR,,,,,,,anonymous,EN,Ja,1997,Man,Universiteit,,Heel waarschijnlijk,Heel onwaarschijnlijk,1 keer,1 keer,Mee eens,Neutraal,Helemaal mee eens,Eens,Helemaal eens,Niet eens,Helemaal eens,Eens,Eens,1,1,4,3,6,4,2,10,1,10,Neutraal,Eens,Helemaal eens,Helemaal eens,5,6,4,4,6,2,2,3,Een beetje eens,Mee eens,Een beetje eens,Mee eens,3
2023-08-09 10:27:24,2023-08-09 10:35:23,IP Address,,100,478,True,2023-08-09 10:35:24,R_10MbUurcWzdWaPW,,,,,,,anonymous,EN,Ja,1991,Man,Universiteit,,Heel onwaarschijnlijk,Waarschijnlijk,1 keer,0 keer,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Eens,Eens,Eens,Eens,Eens,7,6,7,6,5,4,4,6,2,3,Eens,Neutraal,Helemaal niet eens,Eens,5,5,6,6,6,2,2,4,Een beetje eens,Mee eens,Mee eens,Een beetje eens,3
2023-08-09 16:30:00,2023-08-09 16:31:17,IP Address,,100,76,True,2023-08-09 16:31:18,R_21vQD6sbiqxzY6b,,,,,,,anonymous,EN,Ja,1999,Man,havo,,Neutraal,Onwaarschijnlijk,2 keer,1 keer,Neutraal,Mee eens,Neutraal,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,5,4,6,6,5,7,5,5,5,6,Neutraal,Eens,Neutraal,Niet eens,2,4,5,2,5,5,3,4,Neutraal,Neutraal,Een beetje oneens,Niet mee eens,2
2023-08-10 05:40:24,2023-08-10 05:41:31,IP Address,,100,67,True,2023-08-10 05:41:32,R_12RANh9JVMHZFSN,,,,,,,anonymous,EN,Ja,1984,Anders,lbo,,Onwaarschijnlijk,Heel waarschijnlijk,2 keer,0 keer,Niet mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Niet eens,Helemaal eens,Neutraal,Helemaal niet eens,5,7,7,5,4,2,2,3,1,2,Neutraal,Helemaal eens,Neutraal,Niet eens,6,3,4,5,1,4,6,3,Een beetje eens,Een beetje eens,Een beetje eens,Een beetje oneens,1
2023-08-14 12:43:53,2023-08-14 12:46:54,IP Address,,100,180,True,2023-08-14 12:46:55,R_2xENY8062yzsW1u,,,,,,,anonymous,EN,Ja,2003,Vrouw,Universiteit,,Heel waarschijnlijk,Neutraal,3 keer of meer,2 keer,Neutraal,Neutraal,Mee eens,Eens,Eens,Eens,Eens,Eens,Eens,6,6,7,6,4,8,5,5,4,2,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,4,4,6,5,4,1,2,4,Helemaal mee eens,Een beetje eens,Neutraal,Een beetje oneens,3
2023-08-16 05:19:19,2023-08-16 05:33:31,IP Address,,100,852,True,2023-08-16 05:33:32,R_ODrws4WRdUkZuRr,,,,,,,anonymous,EN,Ja,1999,Vrouw,Universiteit,,Neutraal,Neutraal,3 keer of meer,0 keer,Mee eens,Niet mee eens,Mee eens,Eens,Eens,Eens,Eens,Eens,Eens,3,3,6,4,5,5,4,6,4,4,Niet eens,Neutraal,Helemaal niet eens,Niet eens,5,4,5,5,5,3,3,4,Neutraal,Mee eens,Mee eens,Neutraal,2
2023-08-21 09:45:23,2023-08-21 09:50:18,IP Address,,100,294,True,2023-08-21 09:50:19,R_1NqT5qmmMbrJWY4,,,,,,,anonymous,EN,Ja,1997,Vrouw,Anders:,HBO,Heel waarschijnlijk,Onwaarschijnlijk,1 keer,0 keer,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Neutraal,Helemaal eens,Helemaal eens,Eens,Eens,Neutraal,5,5,5,1,5,5,1,10,5,10,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,4,6,6,6,6,3,4,2,Een beetje eens,Mee eens,Mee eens,Niet mee eens,1
2023-08-22 03:53:01,2023-08-22 03:59:32,IP Address,,100,391,True,2023-08-22 03:59:33,R_3eqciRxBjGQwkxO,,,,,,,anonymous,EN,Ja,2002,Vrouw,havo,,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,2 keer,Neutraal,Mee eens,Helemaal mee eens,Eens,Niet eens,Eens,Niet eens,Eens,Eens,6,6,6,5,5,7,6,7,6,4,Eens,Neutraal,Neutraal,Neutraal,5,5,5,4,5,5,5,5,Mee eens,Een beetje eens,Mee eens,Een beetje eens,3
2023-08-23 07:59:22,2023-08-23 08:05:14,IP Address,,100,352,True,2023-08-23 08:05:16,R_29b5iQu1mlxXMya,,,,,,,anonymous,EN,Ja,1992,Vrouw,vwo,,Heel waarschijnlijk,Onwaarschijnlijk,0 keer,0 keer,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Eens,Niet eens,Helemaal eens,Eens,6,9,6,3,7,7,3,9,5,6,Niet eens,Eens,Niet eens,Niet eens,4,2,4,3,5,2,3,4,Neutraal,Niet mee eens,Mee eens,Een beetje eens,1
2023-08-23 12:05:42,2023-08-23 12:07:37,IP Address,,100,114,True,2023-08-23 12:07:37,R_1CHdz7WGG5yZCbY,,,,,,,anonymous,EN,Ja,2001,Man,havo,,Heel waarschijnlijk,Neutraal,0 keer,0 keer,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,9,3,6,5,6,5,5,6,5,6,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,4,4,4,4,4,4,4,4,Niet mee eens,Een beetje oneens,Een beetje oneens,Een beetje eens,2
2023-08-30 09:07:27,2023-08-30 09:10:50,IP Address,,100,202,True,2023-08-30 09:10:52,R_1pX2lySyNnNmBxH,,,,,,,anonymous,EN,Ja,2000,Vrouw,mbo,,Heel waarschijnlijk,Onwaarschijnlijk,3 keer of meer,1 keer,Neutraal,Mee eens,Mee eens,Neutraal,Eens,Helemaal eens,Neutraal,Eens,Eens,8,7,6,5,6,7,5,6,7,3,Eens,Neutraal,Niet eens,Neutraal,5,6,6,5,5,3,2,3,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,3
2023-09-01 07:11:47,2023-09-01 07:17:16,IP Address,,100,328,True,2023-09-01 07:17:17,R_2dSGow2had2iYSC,,,,,,,anonymous,EN,Ja,1999,Vrouw,Universiteit,,Waarschijnlijk,Heel onwaarschijnlijk,2 keer,0 keer,Neutraal,Neutraal,Mee eens,Eens,Neutraal,Neutraal,Niet eens,Neutraal,Eens,2,3,7,3,5,5,2,8,3,8,Eens,Neutraal,Niet eens,Niet eens,6,5,5,5,4,4,6,4,Een beetje eens,Een beetje oneens,Neutraal,Een beetje eens,1
2023-09-03 03:32:47,2023-09-03 03:42:43,IP Address,,100,595,True,2023-09-03 03:42:44,R_YS2l9BSI1q129Xj,,,,,,,anonymous,EN,Ja,1998,Man,Universiteit,,Heel waarschijnlijk,Onwaarschijnlijk,3 keer of meer,1 keer,Niet mee eens,Mee eens,Helemaal mee eens,Eens,Helemaal eens,Helemaal eens,Eens,Helemaal eens,Helemaal eens,2,7,7,4,9,7,4,7,3,3,Helemaal eens,Niet eens,Niet eens,Eens,5,3,6,6,6,1,1,6,Mee eens,Niet mee eens,Mee eens,Niet mee eens,2
2023-09-04 06:28:51,2023-09-04 06:30:29,IP Address,,100,97,True,2023-09-04 06:30:30,R_3KU7nlSgn8RP26L,,,,,,,anonymous,EN,Ja,1997,Vrouw,mbo,,Heel waarschijnlijk,Neutraal,2 keer,2 keer,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Neutraal,Eens,Neutraal,Neutraal,3,3,6,6,5,5,6,4,6,5,Neutraal,Neutraal,Neutraal,Neutraal,2,4,4,3,3,2,3,3,Een beetje oneens,Neutraal,Een beetje oneens,Een beetje eens,3
2023-09-04 12:48:53,2023-09-04 12:50:24,IP Address,,18,90,False,2023-09-11 12:50:28,R_ZEMrFXfvZuwfyil,,,,,,,anonymous,EN,Ja,1996,Man,Anders:,HBO,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,2 keer,Neutraal,Niet mee eens,Mee eens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2023-09-12 12:36:09,2023-09-12 12:46:14,IP Address,,100,605,True,2023-09-12 12:46:15,R_3k1UatSo7QTVcnd,,,,,,,anonymous,EN,Ja,1997,Vrouw,mbo,,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,2 keer,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Helemaal eens,Eens,Eens,Neutraal,3,5,7,5,4,6,5,6,5,3,Eens,Eens,Neutraal,Eens,5,4,6,6,6,2,2,5,Mee eens,Niet mee eens,Mee eens,Neutraal,2
2023-09-13 02:49:15,2023-09-13 02:51:52,IP Address,,100,156,True,2023-09-13 02:52:06,R_3J5ldio2rKlQvpa,,,,,,,anonymous,EN,Ja,1989,Vrouw,havo,,Heel waarschijnlijk,Heel onwaarschijnlijk,3 keer of meer,2 keer,Helemaal niet mee eens,Mee eens,Helemaal niet mee eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal niet eens,Helemaal eens,Helemaal eens,1,10,5,5,5,4,3,7,3,10,Niet eens,Eens,Helemaal niet eens,Neutraal,4,4,4,4,4,4,4,4,Neutraal,Neutraal,Neutraal,Neutraal,1
2023-09-15 06:55:44,2023-09-15 06:58:23,IP Address,,100,159,True,2023-09-15 06:58:24,R_1kHvt3OmjEtgjqf,,,,,,,anonymous,EN,Ja,2003,Vrouw,Anders:,hbo,Heel waarschijnlijk,Heel onwaarschijnlijk,3 keer of meer,3 keer of meer,Niet mee eens,Niet mee eens,Niet mee eens,Neutraal,Neutraal,Eens,Neutraal,Eens,Eens,7,6,6,7,7,5,6,4,5,5,Eens,Neutraal,Niet eens,Niet eens,4,5,5,5,5,4,6,5,Een beetje eens,Een beetje eens,Neutraal,Neutraal,3
2023-09-15 08:50:30,2023-09-15 08:56:24,IP Address,,100,353,True,2023-09-15 08:56:25,R_1pmVgqb3Lsxikp9,,,,,,,anonymous,EN,Ja,2000,Vrouw,havo,,Neutraal,Waarschijnlijk,1 keer,0 keer,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Eens,Eens,Helemaal eens,Helemaal eens,Eens,Eens,5,7,5,4,5,5,4,3,5,7,Eens,Neutraal,Niet eens,Neutraal,6,5,6,4,5,2,2,4,Mee eens,Niet mee eens,Mee eens,Mee eens,2
2023-09-09 04:28:50,2023-09-09 04:30:37,IP Address,,87,106,False,2023-09-16 04:30:43,R_brvqd52FO4BhqfL,,,,,,,anonymous,EN,Ja,1995,Vrouw,Anders:,hbo,Waarschijnlijk,Neutraal,2 keer,1 keer,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Eens,Eens,Eens,Eens,Helemaal eens,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2023-09-19 08:37:03,2023-09-19 08:52:30,IP Address,,100,926,True,2023-09-19 08:52:31,R_3DbhmTZNv5CL48e,,,,,,,anonymous,EN,Ja,1996,Man,vwo,,Heel waarschijnlijk,Onwaarschijnlijk,0 keer,0 keer,Mee eens,Mee eens,Neutraal,Eens,Eens,Helemaal eens,Eens,Eens,Eens,3,2,5,5,6,4,5,5,3,2,Eens,Eens,Neutraal,Eens,6,6,6,6,4,1,5,5,Niet mee eens,Mee eens,Helemaal mee eens,Niet mee eens,1
2023-09-20 06:11:09,2023-09-20 06:15:29,IP Address,,100,260,True,2023-09-20 06:15:31,R_2e2nEG5K7QeDKl1,,,,,,,anonymous,EN,Ja,2003,Vrouw,havo,,Heel waarschijnlijk,Onwaarschijnlijk,1 keer,0 keer,Niet mee eens,Helemaal niet mee eens,Neutraal,Helemaal niet eens,Helemaal niet eens,Niet eens,Helemaal niet eens,Niet eens,Helemaal niet eens,2,3,5,3,4,5,2,8,5,10,Eens,Helemaal niet eens,Helemaal niet eens,Helemaal niet eens,4,3,4,3,4,4,5,5,Een beetje eens,Niet mee eens,Niet mee eens,Neutraal,1
2023-09-20 06:51:16,2023-09-20 06:56:23,IP Address,,100,306,True,2023-09-20 06:56:24,R_3k5khwVa3TyYFvL,,,,,,,anonymous,EN,Ja,1999,Vrouw,Universiteit,,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,2 keer,Niet mee eens,Neutraal,Mee eens,Niet eens,Neutraal,Eens,Niet eens,Niet eens,Eens,3,4,6,4,4,6,6,6,5,3,Eens,Eens,Neutraal,Eens,4,4,4,4,4,2,2,5,Mee eens,Neutraal,Neutraal,Neutraal,3
2023-09-25 05:49:49,2023-09-25 05:53:09,IP Address,,100,199,True,2023-09-25 05:53:10,R_3QYIStx8zf4q521,,,,,,,anonymous,EN,Ja,2001,Vrouw,vwo,,Waarschijnlijk,Neutraal,1 keer,1 keer,Mee eens,Mee eens,Helemaal mee eens,Niet eens,Eens,Eens,Neutraal,Eens,Helemaal eens,7,3,5,3,5,5,3,7,3,7,Eens,Neutraal,Niet eens,Neutraal,6,3,5,5,3,3,3,4,Een beetje eens,Mee eens,Neutraal,Neutraal,2
2023-09-29 09:33:28,2023-09-29 09:41:18,IP Address,,100,469,True,2023-09-29 09:41:19,R_T1uNZWKH6ZhWY81,,,,,,,anonymous,EN,Ja,2003,Man,havo,,Waarschijnlijk,Onwaarschijnlijk,3 keer of meer,0 keer,Mee eens,Mee eens,Mee eens,Helemaal eens,Eens,Eens,Eens,Neutraal,Eens,2,2,6,1,5,5,2,8,4,5,Niet eens,Niet eens,Neutraal,Niet eens,6,6,7,5,4,4,3,5,Een beetje eens,Mee eens,Mee eens,Helemaal niet mee eens,1
